Postcode,Postcode Status,LSOA Code,LSOA Name,Index of Multiple Deprivation Rank,Index of Multiple Deprivation Decile,Income Rank,Income Decile,Income Score,Employment Rank,Employment Decile,Employment Score,Education and Skills Rank,Education and Skills Decile,Health and Disability Rank,Health and Disability Decile,Crime Rank,Crime Decile,Barriers to Housing & Services Rank,Barriers to Housing & Services Decile,Living Environment Rank,Living Environment Decile,IDACI Rank,IDACI Decile,IDACI Score,IDAOPI Rank,IDAOPI Decile,IDAOPI Score
DN11 9PH,Terminated,E01007764,Rotherham 020F E01007764,597,1,313,1,0.45,397,1,0.347,262,1,2860,1,7051,3,8654,3,29974,10,118,1,0.611,6802,3,0.28
DN11 9PJ,Live,E01007764,Rotherham 020F E01007764,597,1,313,1,0.45,397,1,0.347,262,1,2860,1,7051,3,8654,3,29974,10,118,1,0.611,6802,3,0.28
DN11 9RG,Live,E01007764,Rotherham 020F E01007764,597,1,313,1,0.45,397,1,0.347,262,1,2860,1,7051,3,8654,3,29974,10,118,1,0.611,6802,3,0.28
DN12 2BB,Live,E01007720,Rotherham 010B E01007720,8160,3,10827,4,0.168,7149,3,0.171,8313,3,5443,2,1582,1,22661,7,24618,8,13043,4,0.19,10506,4,0.218
S1 1DH,Terminated,E01007750,Rotherham 031D E01007750,19310,6,18770,6,0.097,12552,4,0.12,17162,6,12717,4,21470,7,26894,9,26729,9,15881,5,0.154,26139,8,0.079
S1 1QS,Terminated,E01007821,Rotherham 002E E01007821,10150,4,10210,4,0.175,6224,2,0.182,10178,4,7208,3,7670,3,26898,9,26403,9,13589,5,0.182,13309,5,0.183
S1 1QU,Terminated,E01007821,Rotherham 002E E01007821,10150,4,10210,4,0.175,6224,2,0.182,10178,4,7208,3,7670,3,26898,9,26403,9,13589,5,0.182,13309,5,0.183
S1 1QX,Terminated,E01007821,Rotherham 002E E01007821,10150,4,10210,4,0.175,6224,2,0.182,10178,4,7208,3,7670,3,26898,9,26403,9,13589,5,0.182,13309,5,0.183
S1 1QY,Terminated,E01007821,Rotherham 002E E01007821,10150,4,10210,4,0.175,6224,2,0.182,10178,4,7208,3,7670,3,26898,9,26403,9,13589,5,0.182,13309,5,0.183
S13 9AD,Live,E01007665,Rotherham 027A E01007665,19171,6,20375,7,0.087,16711,6,0.095,16259,5,11683,4,15701,5,18068,6,25679,8,24863,8,0.073,18581,6,0.13
S13 9EL,Terminated,E01007665,Rotherham 027A E01007665,19171,6,20375,7,0.087,16711,6,0.095,16259,5,11683,4,15701,5,18068,6,25679,8,24863,8,0.073,18581,6,0.13
S13 9NH,Terminated,E01007665,Rotherham 027A E01007665,19171,6,20375,7,0.087,16711,6,0.095,16259,5,11683,4,15701,5,18068,6,25679,8,24863,8,0.073,18581,6,0.13
S13 9NJ,Terminated,E01007665,Rotherham 027A E01007665,19171,6,20375,7,0.087,16711,6,0.095,16259,5,11683,4,15701,5,18068,6,25679,8,24863,8,0.073,18581,6,0.13
S13 9WA,Live,E01007665,Rotherham 027A E01007665,19171,6,20375,7,0.087,16711,6,0.095,16259,5,11683,4,15701,5,18068,6,25679,8,24863,8,0.073,18581,6,0.13
S13 9WB,Live,E01007665,Rotherham 027A E01007665,19171,6,20375,7,0.087,16711,6,0.095,16259,5,11683,4,15701,5,18068,6,25679,8,24863,8,0.073,18581,6,0.13
S13 9WD,Live,E01007665,Rotherham 027A E01007665,19171,6,20375,7,0.087,16711,6,0.095,16259,5,11683,4,15701,5,18068,6,25679,8,24863,8,0.073,18581,6,0.13
S13 9WG,Live,E01007665,Rotherham 027A E01007665,19171,6,20375,7,0.087,16711,6,0.095,16259,5,11683,4,15701,5,18068,6,25679,8,24863,8,0.073,18581,6,0.13
S13 9WH,Live,E01007665,Rotherham 027A E01007665,19171,6,20375,7,0.087,16711,6,0.095,16259,5,11683,4,15701,5,18068,6,25679,8,24863,8,0.073,18581,6,0.13
S13 9XP,Live,E01007665,Rotherham 027A E01007665,19171,6,20375,7,0.087,16711,6,0.095,16259,5,11683,4,15701,5,18068,6,25679,8,24863,8,0.073,18581,6,0.13
S13 9XQ,Live,E01007665,Rotherham 027A E01007665,19171,6,20375,7,0.087,16711,6,0.095,16259,5,11683,4,15701,5,18068,6,25679,8,24863,8,0.073,18581,6,0.13
S13 9XR,Live,E01007665,Rotherham 027A E01007665,19171,6,20375,7,0.087,16711,6,0.095,16259,5,11683,4,15701,5,18068,6,25679,8,24863,8,0.073,18581,6,0.13
S13 9XS,Live,E01007665,Rotherham 027A E01007665,19171,6,20375,7,0.087,16711,6,0.095,16259,5,11683,4,15701,5,18068,6,25679,8,24863,8,0.073,18581,6,0.13
S13 9XT,Live,E01007665,Rotherham 027A E01007665,19171,6,20375,7,0.087,16711,6,0.095,16259,5,11683,4,15701,5,18068,6,25679,8,24863,8,0.073,18581,6,0.13
S13 9XU,Live,E01007665,Rotherham 027A E01007665,19171,6,20375,7,0.087,16711,6,0.095,16259,5,11683,4,15701,5,18068,6,25679,8,24863,8,0.073,18581,6,0.13
S13 9XW,Live,E01007665,Rotherham 027A E01007665,19171,6,20375,7,0.087,16711,6,0.095,16259,5,11683,4,15701,5,18068,6,25679,8,24863,8,0.073,18581,6,0.13
S13 9XY,Live,E01007665,Rotherham 027A E01007665,19171,6,20375,7,0.087,16711,6,0.095,16259,5,11683,4,15701,5,18068,6,25679,8,24863,8,0.073,18581,6,0.13
S13 9XZ,Live,E01007665,Rotherham 027A E01007665,19171,6,20375,7,0.087,16711,6,0.095,16259,5,11683,4,15701,5,18068,6,25679,8,24863,8,0.073,18581,6,0.13
S13 9YN,Terminated,E01007665,Rotherham 027A E01007665,19171,6,20375,7,0.087,16711,6,0.095,16259,5,11683,4,15701,5,18068,6,25679,8,24863,8,0.073,18581,6,0.13
S13 9YZ,Terminated,E01007665,Rotherham 027A E01007665,19171,6,20375,7,0.087,16711,6,0.095,16259,5,11683,4,15701,5,18068,6,25679,8,24863,8,0.073,18581,6,0.13
S13 9ZA,Terminated,E01007665,Rotherham 027A E01007665,19171,6,20375,7,0.087,16711,6,0.095,16259,5,11683,4,15701,5,18068,6,25679,8,24863,8,0.073,18581,6,0.13
S13 9ZB,Live,E01007665,Rotherham 027A E01007665,19171,6,20375,7,0.087,16711,6,0.095,16259,5,11683,4,15701,5,18068,6,25679,8,24863,8,0.073,18581,6,0.13
S13 9ZD,Live,E01007665,Rotherham 027A E01007665,19171,6,20375,7,0.087,16711,6,0.095,16259,5,11683,4,15701,5,18068,6,25679,8,24863,8,0.073,18581,6,0.13
S13 9ZE,Live,E01007665,Rotherham 027A E01007665,19171,6,20375,7,0.087,16711,6,0.095,16259,5,11683,4,15701,5,18068,6,25679,8,24863,8,0.073,18581,6,0.13
S13 9ZH,Live,E01007665,Rotherham 027A E01007665,19171,6,20375,7,0.087,16711,6,0.095,16259,5,11683,4,15701,5,18068,6,25679,8,24863,8,0.073,18581,6,0.13
S13 9ZL,Live,E01007665,Rotherham 027A E01007665,19171,6,20375,7,0.087,16711,6,0.095,16259,5,11683,4,15701,5,18068,6,25679,8,24863,8,0.073,18581,6,0.13
S13 9ZT,Terminated,E01007665,Rotherham 027A E01007665,19171,6,20375,7,0.087,16711,6,0.095,16259,5,11683,4,15701,5,18068,6,25679,8,24863,8,0.073,18581,6,0.13
S13 9ZU,Terminated,E01007665,Rotherham 027A E01007665,19171,6,20375,7,0.087,16711,6,0.095,16259,5,11683,4,15701,5,18068,6,25679,8,24863,8,0.073,18581,6,0.13
S13 9ZX,Terminated,E01007665,Rotherham 027A E01007665,19171,6,20375,7,0.087,16711,6,0.095,16259,5,11683,4,15701,5,18068,6,25679,8,24863,8,0.073,18581,6,0.13
S13 9ZY,Terminated,E01007665,Rotherham 027A E01007665,19171,6,20375,7,0.087,16711,6,0.095,16259,5,11683,4,15701,5,18068,6,25679,8,24863,8,0.073,18581,6,0.13
S13 9ZZ,Terminated,E01007665,Rotherham 027A E01007665,19171,6,20375,7,0.087,16711,6,0.095,16259,5,11683,4,15701,5,18068,6,25679,8,24863,8,0.073,18581,6,0.13
S20 1AH,Live,E01007665,Rotherham 027A E01007665,19171,6,20375,7,0.087,16711,6,0.095,16259,5,11683,4,15701,5,18068,6,25679,8,24863,8,0.073,18581,6,0.13
S20 1DJ,Live,E01007665,Rotherham 027A E01007665,19171,6,20375,7,0.087,16711,6,0.095,16259,5,11683,4,15701,5,18068,6,25679,8,24863,8,0.073,18581,6,0.13
S2 4LB,Terminated,E01007748,Rotherham 033A E01007748,20843,7,20821,7,0.085,16416,5,0.097,21001,7,14889,5,12302,4,21758,7,28356,9,19836,7,0.112,25268,8,0.084
S25 1BY,Terminated,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 1BZ,Terminated,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 1WB,Terminated,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 1WZ,Terminated,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 1XA,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 1XZ,Live,E01007810,Rotherham 026C E01007810,10700,4,10670,4,0.169,8511,3,0.155,5459,2,8826,3,9336,3,26311,9,27395,9,12005,4,0.206,12951,4,0.187
S25 1YA,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 1YB,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 1YD,Live,E01007789,Rotherham 028C E01007789,6667,3,5627,2,0.247,4051,2,0.217,3721,2,7808,3,14943,5,16595,6,25435,8,4611,2,0.349,10451,4,0.219
S25 1YE,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 1YF,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 1YG,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 1YH,Live,E01007789,Rotherham 028C E01007789,6667,3,5627,2,0.247,4051,2,0.217,3721,2,7808,3,14943,5,16595,6,25435,8,4611,2,0.349,10451,4,0.219
S25 1YJ,Live,E01007789,Rotherham 028C E01007789,6667,3,5627,2,0.247,4051,2,0.217,3721,2,7808,3,14943,5,16595,6,25435,8,4611,2,0.349,10451,4,0.219
S25 1YL,Live,E01007789,Rotherham 028C E01007789,6667,3,5627,2,0.247,4051,2,0.217,3721,2,7808,3,14943,5,16595,6,25435,8,4611,2,0.349,10451,4,0.219
S25 1YN,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 1YP,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 1YQ,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 1YR,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 1YS,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 1YT,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 1YU,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 1YW,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 1YX,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 1YY,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 1YZ,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 1ZA,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 1ZB,Live,E01007789,Rotherham 028C E01007789,6667,3,5627,2,0.247,4051,2,0.217,3721,2,7808,3,14943,5,16595,6,25435,8,4611,2,0.349,10451,4,0.219
S25 1ZD,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 1ZE,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 1ZF,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 1ZG,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 1ZH,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 1ZJ,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 1ZQ,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 1ZX,Live,E01007789,Rotherham 028C E01007789,6667,3,5627,2,0.247,4051,2,0.217,3721,2,7808,3,14943,5,16595,6,25435,8,4611,2,0.349,10451,4,0.219
S25 1ZY,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 2AB,Live,E01007790,Rotherham 029E E01007790,1129,1,1326,1,0.37,1878,1,0.268,228,1,1012,1,3560,2,23761,8,14765,5,422,1,0.537,4106,2,0.343
S25 2AD,Live,E01007786,Rotherham 029D E01007786,14398,5,14193,5,0.133,11142,4,0.131,12471,4,6309,2,18138,6,29830,10,22896,7,14032,5,0.176,15621,5,0.158
S25 2AE,Live,E01007786,Rotherham 029D E01007786,14398,5,14193,5,0.133,11142,4,0.131,12471,4,6309,2,18138,6,29830,10,22896,7,14032,5,0.176,15621,5,0.158
S25 2AF,Live,E01007786,Rotherham 029D E01007786,14398,5,14193,5,0.133,11142,4,0.131,12471,4,6309,2,18138,6,29830,10,22896,7,14032,5,0.176,15621,5,0.158
S25 2AG,Live,E01007790,Rotherham 029E E01007790,1129,1,1326,1,0.37,1878,1,0.268,228,1,1012,1,3560,2,23761,8,14765,5,422,1,0.537,4106,2,0.343
S25 2AH,Live,E01007790,Rotherham 029E E01007790,1129,1,1326,1,0.37,1878,1,0.268,228,1,1012,1,3560,2,23761,8,14765,5,422,1,0.537,4106,2,0.343
S25 2AJ,Live,E01007790,Rotherham 029E E01007790,1129,1,1326,1,0.37,1878,1,0.268,228,1,1012,1,3560,2,23761,8,14765,5,422,1,0.537,4106,2,0.343
S25 2AL,Live,E01007790,Rotherham 029E E01007790,1129,1,1326,1,0.37,1878,1,0.268,228,1,1012,1,3560,2,23761,8,14765,5,422,1,0.537,4106,2,0.343
S25 2AN,Live,E01007790,Rotherham 029E E01007790,1129,1,1326,1,0.37,1878,1,0.268,228,1,1012,1,3560,2,23761,8,14765,5,422,1,0.537,4106,2,0.343
S25 2AQ,Live,E01007790,Rotherham 029E E01007790,1129,1,1326,1,0.37,1878,1,0.268,228,1,1012,1,3560,2,23761,8,14765,5,422,1,0.537,4106,2,0.343
S25 2AR,Live,E01007790,Rotherham 029E E01007790,1129,1,1326,1,0.37,1878,1,0.268,228,1,1012,1,3560,2,23761,8,14765,5,422,1,0.537,4106,2,0.343
S25 2AS,Live,E01007791,Rotherham 029F E01007791,3048,1,4030,2,0.283,2310,1,0.255,484,1,3791,2,6596,3,22180,7,24919,8,3138,1,0.39,12313,4,0.195
S25 2AT,Live,E01007788,Rotherham 028B E01007788,11625,4,15627,5,0.12,12807,4,0.119,10966,4,12338,4,6756,3,3914,2,18445,6,13043,4,0.19,20987,7,0.112
S25 2BL,Terminated,E01007790,Rotherham 029E E01007790,1129,1,1326,1,0.37,1878,1,0.268,228,1,1012,1,3560,2,23761,8,14765,5,422,1,0.537,4106,2,0.343
S25 2BN,Terminated,E01007790,Rotherham 029E E01007790,1129,1,1326,1,0.37,1878,1,0.268,228,1,1012,1,3560,2,23761,8,14765,5,422,1,0.537,4106,2,0.343
S25 2BP,Terminated,E01007790,Rotherham 029E E01007790,1129,1,1326,1,0.37,1878,1,0.268,228,1,1012,1,3560,2,23761,8,14765,5,422,1,0.537,4106,2,0.343
S25 2BQ,Terminated,E01007790,Rotherham 029E E01007790,1129,1,1326,1,0.37,1878,1,0.268,228,1,1012,1,3560,2,23761,8,14765,5,422,1,0.537,4106,2,0.343
S25 2BR,Terminated,E01007658,Rotherham 032A E01007658,20920,7,19194,6,0.094,15019,5,0.104,19718,7,14557,5,18544,6,30478,10,23690,8,16643,6,0.145,26962,9,0.074
S25 2BT,Terminated,E01007790,Rotherham 029E E01007790,1129,1,1326,1,0.37,1878,1,0.268,228,1,1012,1,3560,2,23761,8,14765,5,422,1,0.537,4106,2,0.343
S25 2BU,Terminated,E01007790,Rotherham 029E E01007790,1129,1,1326,1,0.37,1878,1,0.268,228,1,1012,1,3560,2,23761,8,14765,5,422,1,0.537,4106,2,0.343
S25 2BW,Terminated,E01007790,Rotherham 029E E01007790,1129,1,1326,1,0.37,1878,1,0.268,228,1,1012,1,3560,2,23761,8,14765,5,422,1,0.537,4106,2,0.343
S25 2BX,Live,E01007658,Rotherham 032A E01007658,20920,7,19194,6,0.094,15019,5,0.104,19718,7,14557,5,18544,6,30478,10,23690,8,16643,6,0.145,26962,9,0.074
S25 2BY,Terminated,E01007790,Rotherham 029E E01007790,1129,1,1326,1,0.37,1878,1,0.268,228,1,1012,1,3560,2,23761,8,14765,5,422,1,0.537,4106,2,0.343
S25 2BZ,Terminated,E01007658,Rotherham 032A E01007658,20920,7,19194,6,0.094,15019,5,0.104,19718,7,14557,5,18544,6,30478,10,23690,8,16643,6,0.145,26962,9,0.074
S25 2EX,Live,E01007790,Rotherham 029E E01007790,1129,1,1326,1,0.37,1878,1,0.268,228,1,1012,1,3560,2,23761,8,14765,5,422,1,0.537,4106,2,0.343
S25 2EZ,Live,E01007790,Rotherham 029E E01007790,1129,1,1326,1,0.37,1878,1,0.268,228,1,1012,1,3560,2,23761,8,14765,5,422,1,0.537,4106,2,0.343
S25 2HA,Live,E01007790,Rotherham 029E E01007790,1129,1,1326,1,0.37,1878,1,0.268,228,1,1012,1,3560,2,23761,8,14765,5,422,1,0.537,4106,2,0.343
S25 2JU,Live,E01007790,Rotherham 029E E01007790,1129,1,1326,1,0.37,1878,1,0.268,228,1,1012,1,3560,2,23761,8,14765,5,422,1,0.537,4106,2,0.343
S25 2JW,Terminated,E01007789,Rotherham 028C E01007789,6667,3,5627,2,0.247,4051,2,0.217,3721,2,7808,3,14943,5,16595,6,25435,8,4611,2,0.349,10451,4,0.219
S25 2JX,Terminated,E01007792,Rotherham 028D E01007792,28153,9,25854,8,0.059,26931,9,0.053,25169,8,16681,6,22069,7,23893,8,29280,9,23560,8,0.082,21162,7,0.111
S25 2JY,Live,E01007789,Rotherham 028C E01007789,6667,3,5627,2,0.247,4051,2,0.217,3721,2,7808,3,14943,5,16595,6,25435,8,4611,2,0.349,10451,4,0.219
S25 2JZ,Live,E01007789,Rotherham 028C E01007789,6667,3,5627,2,0.247,4051,2,0.217,3721,2,7808,3,14943,5,16595,6,25435,8,4611,2,0.349,10451,4,0.219
S25 2LA,Live,E01007790,Rotherham 029E E01007790,1129,1,1326,1,0.37,1878,1,0.268,228,1,1012,1,3560,2,23761,8,14765,5,422,1,0.537,4106,2,0.343
S25 2LB,Live,E01007789,Rotherham 028C E01007789,6667,3,5627,2,0.247,4051,2,0.217,3721,2,7808,3,14943,5,16595,6,25435,8,4611,2,0.349,10451,4,0.219
S25 2LD,Live,E01007792,Rotherham 028D E01007792,28153,9,25854,8,0.059,26931,9,0.053,25169,8,16681,6,22069,7,23893,8,29280,9,23560,8,0.082,21162,7,0.111
S25 2LE,Live,E01007790,Rotherham 029E E01007790,1129,1,1326,1,0.37,1878,1,0.268,228,1,1012,1,3560,2,23761,8,14765,5,422,1,0.537,4106,2,0.343
S25 2LF,Live,E01007789,Rotherham 028C E01007789,6667,3,5627,2,0.247,4051,2,0.217,3721,2,7808,3,14943,5,16595,6,25435,8,4611,2,0.349,10451,4,0.219
S25 2LG,Live,E01007786,Rotherham 029D E01007786,14398,5,14193,5,0.133,11142,4,0.131,12471,4,6309,2,18138,6,29830,10,22896,7,14032,5,0.176,15621,5,0.158
S25 2LH,Live,E01007790,Rotherham 029E E01007790,1129,1,1326,1,0.37,1878,1,0.268,228,1,1012,1,3560,2,23761,8,14765,5,422,1,0.537,4106,2,0.343
S25 2LJ,Live,E01007789,Rotherham 028C E01007789,6667,3,5627,2,0.247,4051,2,0.217,3721,2,7808,3,14943,5,16595,6,25435,8,4611,2,0.349,10451,4,0.219
S25 2LL,Live,E01007789,Rotherham 028C E01007789,6667,3,5627,2,0.247,4051,2,0.217,3721,2,7808,3,14943,5,16595,6,25435,8,4611,2,0.349,10451,4,0.219
S25 2LN,Live,E01007785,Rotherham 029C E01007785,15145,5,13696,5,0.138,11694,4,0.126,11252,4,12423,4,13114,4,22232,7,28672,9,13826,5,0.179,15005,5,0.164
